Number of Elements,Bubble Sort Time (ms),Selection Sort Time (ms),Insertion Sort Time (ms),Merge Sort Time (ms)
0,1,0,0,2
100,109,58,10,43
200,499,311,22,31
300,739,633,27,53
400,1105,1044,36,75
500,1334,1102,40,67
600,1477,1249,41,65
700,1676,1709,52,63
800,2777,644,72,109
900,2830,669,103,133
1000,3482,701,82,94
1100,3488,772,111,156
1200,4080,1222,111,157
1300,6455,522,93,143
1400,4505,594,94,128
1500,6104,1246,153,203
1600,5924,781,116,146
1700,6350,972,152,210
1800,8027,1171,138,157
1900,7644,1029,161,198
2000,7833,1133,133,132
2100,8964,1232,148,158
2200,10254,1363,154,174
2300,11344,2438,205,246
2400,12360,1771,172,189
2500,12540,1757,274,231
2600,13052,1881,175,178
2700,13747,2008,177,178
2800,14588,2210,252,206
2900,15893,2393,202,191
3000,17329,2469,198,203
3100,18297,2624,215,202
3200,19720,3025,227,220
3300,20362,2997,138,238
3400,21691,3165,48,248
3500,23483,3466,60,246
3600,25773,3546,51,274
3700,26199,3882,64,278
3800,27894,3977,53,270
3900,29657,4137,65,308
4000,30621,4335,56,293
4100,33240,7371,125,504
4200,38872,5140,68,335
4300,45325,5002,105,347
4400,37926,5225,61,327
4500,40571,5472,256,324
4600,43430,5685,3,326
4700,45770,5922,4,362
4800,47296,6204,4,336
4900,50083,6475,3,369
5000,53317,6840,4,360
5100,54305,7067,4,365
5200,58242,7268,4,374
5300,62669,7574,7,542
5400,64676,7765,4,395
5500,68160,8047,4,395
5600,71542,8411,17,386
5700,76046,8734,5,429
5800,78721,9099,5,424
5900,81758,9259,4,437
6000,84573,9616,4,414
6100,89052,9923,4,429
6200,93030,14599,6,444
6300,98757,10674,5,437
6400,99780,11269,11,431
6500,106694,11444,6,447
6600,111194,11656,4,475
6700,114702,11979,5,558
6800,120940,12299,5,470
6900,124598,12604,5,503
7000,128298,13151,5,479
7100,131702,13368,5,481
7200,137302,13736,6,502
7300,142428,14099,7,501
7400,147692,14697,5,535
7500,152597,15330,7,523
7600,156126,15362,6,528
7700,164721,15763,5,514
7800,169488,16179,5,526
7900,175473,16426,5,544
8000,181597,16946,6,531
8100,184188,17358,6,531
8200,190562,17747,6,526
8300,198491,18273,6,553
8400,200353,18719,6,560
8500,206273,19110,6,572
8600,217705,20463,9,588
8700,222112,19891,6,601
8800,226403,20429,6,587
8900,233848,20923,8,712
9000,240734,21652,7,588
9100,247683,22103,7,609
9200,260910,22453,7,641
9300,263185,24509,8,652
9400,270864,23427,8,657
9500,273620,23806,7,613
9600,281961,24415,7,629
9700,292084,24879,8,639
9800,292256,25477,8,644
9900,307107,26496,9,679
10000,316042,26512,8,673
